Batch,CourseTitle,SeatRollNo,Credit Hours,Total Marks,Delivery Format,TotalMarks
18TL,Islamic Studies/Ethics,18TL02,2,50,Theory,47
18TL,Islamic Studies/Ethics,18TL03,2,50,Theory,33
18TL,Islamic Studies/Ethics,18TL04,2,50,Theory,42
18TL,Islamic Studies/Ethics,18TL05,2,50,Theory,44
18TL,Islamic Studies/Ethics,18TL06,2,50,Theory,43
18TL,Islamic Studies/Ethics,18TL07,2,50,Theory,42
18TL,Islamic Studies/Ethics,18TL08,2,50,Theory,39
18TL,Islamic Studies/Ethics,18TL09,2,50,Theory,39
18TL,Islamic Studies/Ethics,18TL10,2,50,Theory,37
18TL,Islamic Studies/Ethics,18TL13,2,50,Theory,37
18TL,Islamic Studies/Ethics,18TL14,2,50,Theory,37
18TL,Islamic Studies/Ethics,18TL15,2,50,Theory,33
18TL,Islamic Studies/Ethics,18TL16,2,50,Theory,30
18TL,Islamic Studies/Ethics,18TL17,2,50,Theory,27
18TL,Islamic Studies/Ethics,18TL19,2,50,Theory,42
18TL,Islamic Studies/Ethics,18TL22,2,50,Theory,42
18TL,Islamic Studies/Ethics,18TL23,2,50,Theory,39
18TL,Islamic Studies/Ethics,18TL24,2,50,Theory,39
18TL,Islamic Studies/Ethics,18TL25,2,50,Theory,30
18TL,Islamic Studies/Ethics,18TL26,2,50,Theory,42
18TL,Islamic Studies/Ethics,18TL28,2,50,Theory,42
18TL,Islamic Studies/Ethics,18TL30,2,50,Theory,38
18TL,Islamic Studies/Ethics,18TL31,2,50,Theory,37
18TL,Islamic Studies/Ethics,18TL33,2,50,Theory,39
18TL,Islamic Studies/Ethics,18TL34,2,50,Theory,33
18TL,Islamic Studies/Ethics,18TL35,2,50,Theory,37
18TL,Islamic Studies/Ethics,18TL36,2,50,Theory,34
18TL,Islamic Studies/Ethics,18TL37,2,50,Theory,30
18TL,Islamic Studies/Ethics,18TL40,2,50,Theory,42
18TL,Islamic Studies/Ethics,18TL42,2,50,Theory,34
18TL,Islamic Studies/Ethics,18TL43,2,50,Theory,42
18TL,Islamic Studies/Ethics,18TL45,2,50,Theory,33
18TL,Islamic Studies/Ethics,18TL50,2,50,Theory,37
18TL,Islamic Studies/Ethics,18TL51,2,50,Theory,37
18TL,Islamic Studies/Ethics,18TL52,2,50,Theory,33
18TL,Islamic Studies/Ethics,18TL55,2,50,Theory,42
18TL,Islamic Studies/Ethics,18TL57,2,50,Theory,33
18TL,Islamic Studies/Ethics,18TL58,2,50,Theory,34
18TL,Islamic Studies/Ethics,18TL59,2,50,Theory,27
18TL,Islamic Studies/Ethics,18TL61,2,50,Theory,37
18TL,Islamic Studies/Ethics,18TL62,2,50,Theory,37
18TL,Islamic Studies/Ethics,18TL63,2,50,Theory,37
18TL,Islamic Studies/Ethics,18TL70,2,50,Theory,12
18TL,Islamic Studies/Ethics,18TL71,2,50,Theory,42
18TL,Islamic Studies/Ethics,18TL72,2,50,Theory,30
18TL,Islamic Studies/Ethics,18TL73,2,50,Theory,30
18TL,Islamic Studies/Ethics,18TL74,2,50,Theory,38
18TL,Islamic Studies/Ethics,18TL75,2,50,Theory,34
18TL,Islamic Studies/Ethics,18TL76,2,50,Theory,42
18TL,Islamic Studies/Ethics,18TL77,2,50,Theory,30
18TL,Islamic Studies/Ethics,18TL80,2,50,Theory,45
18TL,Islamic Studies/Ethics,18TL81,2,50,Theory,42
18TL,Islamic Studies/Ethics,18TL82,2,50,Theory,37
18TL,Islamic Studies/Ethics,18TL84,2,50,Theory,33
18TL,Islamic Studies/Ethics,18TL86,2,50,Theory,34
18TL,Islamic Studies/Ethics,18TL87,2,50,Theory,38
18TL,Islamic Studies/Ethics,18TL88,2,50,Theory,30
18TL,Islamic Studies/Ethics,18TL89,2,50,Theory,38
18TL,Islamic Studies/Ethics,18TL90,2,50,Theory,42
18TL,Islamic Studies/Ethics,18TL91,2,50,Theory,27
18TL,Islamic Studies/Ethics,18TL101,2,50,Theory,42
18TL,Islamic Studies/Ethics,18TL102,2,50,Theory,42
18TL,Islamic Studies/Ethics,18TL103,2,50,Theory,26
18TL,Islamic Studies/Ethics,18TL106,2,50,Theory,30
18TL,Islamic Studies/Ethics,18TL107,2,50,Theory,33
18TL,Islamic Studies/Ethics,18TL108,2,50,Theory,30
18TL,Islamic Studies/Ethics,18TL110,2,50,Theory,39
18TL,Islamic Studies/Ethics,18TL111,2,50,Theory,33
18TL,Islamic Studies/Ethics,18TL116,2,50,Theory,33
18TL,Islamic Studies/Ethics,18TL117,2,50,Theory,25
18TL,Islamic Studies/Ethics,18TL118,2,50,Theory,38
18TL,Islamic Studies/Ethics,18TL119,2,50,Theory,33
18TL,Islamic Studies/Ethics,18TL120,2,50,Theory,35
18TL,Islamic Studies/Ethics,18TL121,2,50,Theory,43
18TL,Islamic Studies/Ethics,18TL122,2,50,Theory,30
18TL,Islamic Studies/Ethics,18TL123,2,50,Theory,42
18TL,Islamic Studies/Ethics,18TL125,2,50,Theory,30
18TL,Islamic Studies/Ethics,18-17TL79,2,50,Theory,37
18TL,Islamic Studies/Ethics,18TL18,2,50,Theory,27
18TL,Islamic Studies/Ethics,18TL20,2,50,Theory,31
18TL,Islamic Studies/Ethics,18TL39,2,50,Theory,37
18TL,Islamic Studies/Ethics,18TL44,2,50,Theory,31
18TL,Islamic Studies/Ethics,18TL47,2,50,Theory,39
18TL,Islamic Studies/Ethics,18TL48,2,50,Theory,38
18TL,Islamic Studies/Ethics,18TL49,2,50,Theory,37
18TL,Pakistan Studies,18TL02,2,50,Theory,45
18TL,Pakistan Studies,18TL03,2,50,Theory,44
18TL,Pakistan Studies,18TL04,2,50,Theory,43
18TL,Pakistan Studies,18TL05,2,50,Theory,44
18TL,Pakistan Studies,18TL06,2,50,Theory,45
18TL,Pakistan Studies,18TL07,2,50,Theory,42
18TL,Pakistan Studies,18TL08,2,50,Theory,38
18TL,Pakistan Studies,18TL09,2,50,Theory,45
18TL,Pakistan Studies,18TL10,2,50,Theory,40
18TL,Pakistan Studies,18TL13,2,50,Theory,33
18TL,Pakistan Studies,18TL14,2,50,Theory,40
18TL,Pakistan Studies,18TL15,2,50,Theory,34
18TL,Pakistan Studies,18TL16,2,50,Theory,32
18TL,Pakistan Studies,18TL17,2,50,Theory,32
18TL,Pakistan Studies,18TL18,2,50,Theory,31
18TL,Pakistan Studies,18TL19,2,50,Theory,40
18TL,Pakistan Studies,18TL20,2,50,Theory,28
18TL,Pakistan Studies,18TL22,2,50,Theory,36
18TL,Pakistan Studies,18TL23,2,50,Theory,40
18TL,Pakistan Studies,18TL24,2,50,Theory,40
18TL,Pakistan Studies,18TL25,2,50,Theory,42
18TL,Pakistan Studies,18TL26,2,50,Theory,32
18TL,Pakistan Studies,18TL28,2,50,Theory,39
18TL,Pakistan Studies,18TL30,2,50,Theory,38
18TL,Pakistan Studies,18TL31,2,50,Theory,37
18TL,Pakistan Studies,18TL33,2,50,Theory,41
18TL,Pakistan Studies,18TL34,2,50,Theory,36
18TL,Pakistan Studies,18TL35,2,50,Theory,44
18TL,Pakistan Studies,18TL36,2,50,Theory,31
18TL,Pakistan Studies,18TL37,2,50,Theory,44
18TL,Pakistan Studies,18TL39,2,50,Theory,37
18TL,Pakistan Studies,18TL40,2,50,Theory,34
18TL,Pakistan Studies,18TL42,2,50,Theory,41
18TL,Pakistan Studies,18TL43,2,50,Theory,43
18TL,Pakistan Studies,18TL44,2,50,Theory,38
18TL,Pakistan Studies,18TL45,2,50,Theory,39
18TL,Pakistan Studies,18TL47,2,50,Theory,40
18TL,Pakistan Studies,18TL48,2,50,Theory,39
18TL,Pakistan Studies,18TL49,2,50,Theory,41
18TL,Pakistan Studies,18TL50,2,50,Theory,40
18TL,Pakistan Studies,18TL51,2,50,Theory,42
18TL,Pakistan Studies,18TL52,2,50,Theory,34
18TL,Pakistan Studies,18TL55,2,50,Theory,41
18TL,Pakistan Studies,18TL57,2,50,Theory,26
18TL,Pakistan Studies,18TL58,2,50,Theory,41
18TL,Pakistan Studies,18TL59,2,50,Theory,31
18TL,Pakistan Studies,18TL61,2,50,Theory,35
18TL,Pakistan Studies,18TL62,2,50,Theory,39
18TL,Pakistan Studies,18TL63,2,50,Theory,37
18TL,Pakistan Studies,18TL70,2,50,Theory,14
18TL,Pakistan Studies,18TL71,2,50,Theory,39
18TL,Pakistan Studies,18TL72,2,50,Theory,25
18TL,Pakistan Studies,18TL73,2,50,Theory,32
18TL,Pakistan Studies,18TL74,2,50,Theory,41
18TL,Pakistan Studies,18TL75,2,50,Theory,34
18TL,Pakistan Studies,18TL76,2,50,Theory,36
18TL,Pakistan Studies,18TL77,2,50,Theory,34
18TL,Pakistan Studies,18TL80,2,50,Theory,45
18TL,Pakistan Studies,18TL81,2,50,Theory,37
18TL,Pakistan Studies,18TL82,2,50,Theory,44
18TL,Pakistan Studies,18TL84,2,50,Theory,35
18TL,Pakistan Studies,18TL86,2,50,Theory,35
18TL,Pakistan Studies,18TL87,2,50,Theory,33
18TL,Pakistan Studies,18TL88,2,50,Theory,32
18TL,Pakistan Studies,18TL89,2,50,Theory,38
18TL,Pakistan Studies,18TL90,2,50,Theory,37
18TL,Pakistan Studies,18TL91,2,50,Theory,37
18TL,Pakistan Studies,18TL101,2,50,Theory,44
18TL,Pakistan Studies,18TL102,2,50,Theory,38
18TL,Pakistan Studies,18TL103,2,50,Theory,35
18TL,Pakistan Studies,18TL106,2,50,Theory,37
18TL,Pakistan Studies,18TL107,2,50,Theory,25
18TL,Pakistan Studies,18TL108,2,50,Theory,32
18TL,Pakistan Studies,18TL110,2,50,Theory,39
18TL,Pakistan Studies,18TL111,2,50,Theory,33
18TL,Pakistan Studies,18TL116,2,50,Theory,31
18TL,Pakistan Studies,18TL117,2,50,Theory,38
18TL,Pakistan Studies,18TL118,2,50,Theory,45
18TL,Pakistan Studies,18TL119,2,50,Theory,39
18TL,Pakistan Studies,18TL120,2,50,Theory,39
18TL,Pakistan Studies,18TL121,2,50,Theory,44
18TL,Pakistan Studies,18TL122,2,50,Theory,29
18TL,Pakistan Studies,18TL123,2,50,Theory,36
18TL,Pakistan Studies,18TL125,2,50,Theory,30
18TL,Pakistan Studies,18-17TL79,2,50,Theory,31
18TL,Applied Calculus,18TL02,3,100,Theory,95
18TL,Applied Calculus,18TL04,3,100,Theory,92
18TL,Applied Calculus,18TL06,3,100,Theory,85
18TL,Applied Calculus,18TL08,3,100,Theory,65
18TL,Applied Calculus,18TL10,3,100,Theory,75
18TL,Applied Calculus,18TL14,3,100,Theory,76
18TL,Applied Calculus,18TL16,3,100,Theory,17
18TL,Applied Calculus,18TL18,3,100,Theory,22
18TL,Applied Calculus,18TL20,3,100,Theory,21
18TL,Applied Calculus,18TL22,3,100,Theory,50
18TL,Applied Calculus,18TL24,3,100,Theory,50
18TL,Applied Calculus,18TL26,3,100,Theory,55
18TL,Applied Calculus,18TL28,3,100,Theory,88
18TL,Applied Calculus,18TL30,3,100,Theory,65
18TL,Applied Calculus,18TL34,3,100,Theory,31
18TL,Applied Calculus,18TL36,3,100,Theory,50
18TL,Applied Calculus,18TL40,3,100,Theory,28
18TL,Applied Calculus,18TL42,3,100,Theory,66
18TL,Applied Calculus,18TL44,3,100,Theory,36
18TL,Applied Calculus,18TL48,3,100,Theory,30
18TL,Applied Calculus,18TL50,3,100,Theory,60
18TL,Applied Calculus,18TL52,3,100,Theory,50
18TL,Applied Calculus,18TL58,3,100,Theory,55
18TL,Applied Calculus,18TL62,3,100,Theory,50
18TL,Applied Calculus,18TL70,3,100,Theory,23
18TL,Applied Calculus,18TL72,3,100,Theory,27
18TL,Applied Calculus,18TL74,3,100,Theory,80
